iter	Passed	Remaining
0	0	80
1	1	72
2	2	67
3	2	65
4	3	64
5	4	63
6	4	61
7	5	60
8	5	60
9	6	59
10	7	59
11	7	58
12	8	59
13	9	59
14	10	58
15	11	58
16	11	57
17	12	57
18	13	56
19	13	55
20	14	54
21	15	53
22	15	53
23	16	52
24	17	51
25	17	51
26	18	50
27	19	49
28	20	48
29	20	48
30	21	47
31	22	46
32	22	46
33	23	46
34	24	45
35	25	45
36	26	45
37	27	44
38	28	43
39	28	43
40	29	42
41	30	41
42	30	41
43	31	39
44	32	39
45	32	38
46	33	37
47	34	37
48	34	36
49	35	35
50	36	35
51	37	34
52	37	33
53	38	32
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	20
71	52	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	66	5
92	66	5
93	67	4
94	68	3
95	68	2
96	69	2
97	70	1
98	71	0
99	71	0
